parentid,childid,body,category
4120,6,4月までの過去1年間の貿易黒字は2569億ドルと、3月までの2571億ドルからわずかに減少した,00000100000
4120,7,2007年の貿易黒字は2622億ドル,00000100000
4206,0,財務省が14日午前8時50分に発表した国際収支状況速報によると、3月の経常黒字は前年比12.3％減の2兆8825億円となり、3カ月ぶりの減少となった,00000100000
4206,1,ロイターが民間調査機関に行った事前調査では、経常黒字の予測中央値は前年比14.2％減の2兆8200億円程度だった,00000100000
4206,6,所得収支黒字は同6.6％拡大の1兆9599億円となり、貿易黒字を上回った,00000100000
4206,8,07年度の経常黒字が過去最高となったのは、所得収支黒字が前年比17.6％増の16兆7628億円と過去最高となったことや貿易黒字が11兆7099億円と同11.7％増加したことなどが影響した,00000100000
4206,9,所得収支黒字が貿易黒字を上回るのは、3年連続,00000100000
4206,14,所得収支にしても、金融市場の混乱もあり、3月のような黒字増加が持続するとは考えにくい」として、今後は経常黒字の堅調な増加は期待しにくいと予想した,00000100000
4321,0,欧州連合（EU）統計局（ユーロスタット）が16日発表した3月のユーロ圏の貿易収支は予想外の赤字となった,00000100000
4321,2,3月の貿易赤字は23億ユーロ（35億6000万ドル）となった,00000100000
4321,10,季節調整後では貿易収支は24億ユーロの赤字,00000100000
4333,8,米国の大幅な貿易赤字など世界的な経済不均衡の是正問題では、為替だけに依存すべきではないと指摘した,00000100000
4456,3,ロイターが民間調査機関を対象に行った調査では、貿易収支の予測中央値は前年比マイナス19.7％の7250億円程度の黒字で、発表数値は予想を大きく下回った,00000100000
4554,4,中国には4月、貿易黒字と対外直接投資により243億ドルが流入している,00000100000
4587,1,90年代後半のアジア通貨危機の教訓から、着実に経常黒字を積み上げ、通貨の価値を回復させてきたアジア各国地域の一部には、再び赤字転落する国も出ている,00000100000
4587,4,タイでは4月の輸入が前年比44.4％増の155億7000万ドルなったことで、貿易収支が赤字転落し、18.1億ドルの赤字を計上した,00000100000
4656,8,足元の1バレル＝130ドルで推移した場合、経常赤字は5000億円に拡大するという,00000100000
4858,0,中国税関総署は、同国の輸入が2008年を通じて、輸出の伸びを上回り、高い伸びを示してきた貿易黒字のトレンドは転換期を迎えるとの見通しを示した,00000100000
4858,1,ただ、具体的な数字の見通しや、貿易黒字が今年減少するとの見方は示さなかった,00000100000
4858,2,中国の貿易黒字は2007年に過去最高の2622億ドルとなった,00000100000
4858,3,08年4月までの1年間の貿易黒字は2569億ドルに減少した,00000100000
4858,4,中国税関総署は、4日ウェブサイトに掲載された声明の中で「貿易黒字の大幅な増加トレンドと貿易不均衡のトレンドは転換期を迎える見込みだ」としている,00000100000
4986,0,米商務省が発表した4月の貿易赤字は609億ドルと予想以上に拡大した,00000100000
4986,2,3月の貿易赤字は565億ドルに下方修正された,00000100000
4991,0,財務省が11日午前8時50分に発表した国際収支状況速報によると、4月の経常黒字は前年比29.6％減少の1兆3809億円となり、2カ月連続の減少となった,00000100000
4991,1,ロイターが民間調査機関に行った事前調査では、経常黒字の予測中央値は前年比17.1％減の1兆6275億円だった,00000100000
4995,0,財務省が11日午前8時50分に発表した国際収支状況速報によると、4月の経常黒字は前年比29.6％減少の1兆3809億円となり、2カ月連続の減少となった,00000100000
4995,1,ロイターが民間調査機関に行った事前調査では、経常黒字の予測中央値は前年比17.1％減の1兆6275億円だった,00000100000
4995,8,貿易収支の中の輸出額、輸入額はそれぞれ4月としては過去最高となった,00000100000
5247,5,報告は「インフレ期待を抑制し、成長パターンをリバランスし、経常黒字を縮小させる必要性を考えれば、金融よりも財政政策の緩和のほうが適切だ」と述べた,00000100000
5289,4,＊経常収支―2007年の経常黒字は3718億ドルで、GDPに対する比率は11.3％だった,10000100000
5359,10,大幅な経常黒字を持ち、内需主導の経済成長を達成しているため、西側諸国の景気鈍化の影響も軽微なためだ,00000100000
5375,0,財務省が25日午前8時50分に発表した5月の貿易統計速報によると、貿易収支は3656億円の黒字となった,00000100000
5375,4,ロイターが民間調査機関を対象に行った調査では、貿易収支の予測中央値は400億円の黒字で、発表数値は予想を上回った,00000100000
5380,0,財務省が25日午前8時50分に発表した5月の貿易統計速報によると、貿易収支は3656億円の黒字となった,00000100000
5602,4,また報告書は、商品価格高騰による各国の国際収支への影響は最近まで限定的だったが、現在は影響が拡大しており、インフレが国家財政を圧迫していると指摘,10000100000
5840,0,財務省が10日午前8時50分に発表した国際収支状況速報によると、5月の経常黒字は前年比5.9％減少の2兆0006億円となり、3カ月連続の減少となった,00000100000
5840,1,ロイターが民間調査機関に行った事前調査では、経常黒字の予測中央値は前年比9.7％減の1兆9200億円だった,00000100000
5844,0,財務省が10日午前8時50分に発表した国際収支状況速報によると、5月の経常黒字は前年比5.9％減少の2兆0006億円となり、3カ月連続の減少となった,00000100000
5844,1,ロイターが民間調査機関に行った事前調査では、経常黒字の予測中央値は前年比9.7％減の1兆9200億円だった,00000100000
5844,3,経常黒字の減少は、所得収支黒字が前年比12.6％減と減少したことが背景にある,00000100000
5849,12,バークレイズキャピタル証券チーフエコノミスト、森田京平氏によると、6月の交易条件（＝輸出物価指数／輸入物価指数×100）は前年比マイナス21.3％と1981年9月以来の悪化幅を記録,00000100000
5920,0,米商務省が発表した5月の貿易赤字は予想外の縮小となった,00000100000
5920,1,貿易赤字は598億ドルで、前月の605億ドル（修正）から縮小,00000100000
5920,4,インフレ調整後の貿易赤字は縮小幅が30億ドル強と大きく、第2四半期の国内総生産（GDP）成長にかなり寄与するだろうと述べた,10000100000
5933,0,米商務省が発表した5月の貿易赤字は予想外の縮小となった,00000100000
5933,1,貿易赤字は598億ドルで、前月の605億ドル（修正）から縮小,00000100000
5933,4,インフレ調整後の貿易赤字は縮小幅が30億ドル強と大きく、第2四半期の国内総生産（GDP）成長にかなり寄与するだろうと述べた,10000100000
5974,3,中国では上期の貿易黒字が前年比12％減少、当局者の間では景気減速への懸念が高まっている,00000100000
6127,0,欧州連合（EU）統計局が18日発表した5月のユーロ圏の貿易収支（調整前）は、46億ユーロの赤字だった,00000100000
6127,11,1─4月の中国に対する貿易赤字は341億ユーロに小幅縮小,00000100000
6127,13,5月の貿易収支は調整後では15億ユーロの赤字,00000100000
6242,0,財務省が24日午前8時50分に発表した6月の貿易統計速報によると、貿易収支は1386億円の黒字となった,00000100000
6242,4,ロイターが民間調査機関を対象に行った調査では、貿易収支の予測中央値は5030億円の黒字で、発表数値は予想を大幅に下回った,00000100000
6243,0,財務省が24日発表した6月の貿易統計速報によると、貿易収支は1386億円の黒字となった,00000100000
6249,4,人民元は2005年の切り上げ以降、対米ドルで約18％上昇しているが、中国の貿易黒字と外貨準備は増加し続けている,00000100000
6249,6,リポートでは、一国の経常赤字または黒字を対国内総生産（GDP）比で3％以内に収めるのに必要な為替相場の調整幅を算出している,10000100000
6680,0,ロイター調査によると、7月の中国の貿易黒字は前年同月比で縮小する見通し,00000100000
6680,2,エコノミスト20人による貿易黒字の予想中央値は205億ドルで、前年同月の244億ドル、前月の214億ドルから縮小する見通し,00000100000
6822,0,米商務省が発表した6月の貿易赤字は567億7000万ドルとなり予想を下回った,00000100000
6832,0,財務省が13日午前8時50分に発表した国際収支状況速報によると、6月の経常黒字は前年比67.4％減少の4939億円となり、4カ月連続で黒字幅が縮小した,00000100000
6832,2,ロイターが民間調査機関に行った事前調査では、経常黒字の予測中央値は前年比が67.7％減少で発表された数字はほぼ予測通りだった,00000100000
6832,4,貿易収支の黒字が前年比81.3％減の2521億円に落ち込んだことに加えサービス収支の赤字も2032億円から2501億円に拡大したことから、全体として黒字幅が縮小した,00000100000
6902,12,「ブラジル通貨は、成長動向や国際収支の底堅い黒字を背景に、明らかに全般的なドル高による影響は限られるだろう」とした,00000100000
7117,0,財務省が21日午前8時50分に発表した7月の貿易統計速報によると、貿易収支は911億円の黒字となった,00000100000
7117,4,ロイターが民間調査機関を対象に行った調査では、貿易収支の予測中央値は2525億円の黒字で、発表数値は予想を下回った,00000100000
7118,4,寄り付き前に発表された7月の貿易黒字が予想を下振れたが「輸出関連株はバリュエーション面でかなり割安になっており、貿易統計を受けて大きく売り込まれることはない」（三菱UFJ投信戦略運用部副部長宮崎高志氏）との声が出ている,00000100000
7122,0,財務省が21日発表した7月の貿易統計速報によると、貿易収支は911億円の黒字となった,00000100000
7122,2,ロイターが民間調査機関を対象に行った調査では、貿易収支の予測中央値は2525億円の黒字で、発表数値は予想を下回った,00000100000
7122,4,●新興国向けへの影響を注視＜大和証券SMBCチーフストラテジスト末澤豪謙氏＞原油高などの影響で7月の貿易黒字が前年比で大幅減となった,00000100000
7123,0,財務省が21日発表した7月貿易統計速報によると、貿易収支は911億円の黒字となった,00000100000
7123,3,ロイターが民間調査機関を対象に行った調査では、貿易収支の予測中央値は2525億円の黒字で、発表数値は予想を下回った,00000100000
7123,23,「原油価格は上昇が一服しているが、海外経済の減速で輸出の伸びが落ちていくため、外需が貿易黒字を押し上げることは当分は期待できない」と予想している,00000100001
7671,0,財務省が10日午前8時50分に発表した国際収支状況速報によると、7月の経常黒字は前年比17.3％減少の1兆5318億円となり、5カ月連続の減少となった,00000100000
7671,1,ロイターが民間調査機関に行った事前調査では、経常黒字の予測中央値は前年比が28.7％減少、金額が1兆3197億円だった,00000100000
7671,3,このうち、貿易収支の黒字は前年比69.8％減少、サービス収支は2030億円の赤字（前年同月は3163億円の赤字）となった,00000100000
7726,0,杉本和行財務次官は11日の定例会見で、このところアジア通貨が全般に下落していることについて「原油など商品価格が落ち着いてきており、アジアのインフレや経常収支にいい影響を与えると期待している」と述べた,10000100001
7727,0,杉本和行財務次官は11日午後の定例会見で、このところアジア通貨が全般的に下落していることに関連し、アジアの経済情勢を注視するとしながら、最近の原油など商品価格の落ち着きがアジアのインフレや経常収支に好影響を与えることを期待している、と述べた,10000100001
7727,2,韓国やインドネシアなどの通貨当局が自国通貨防衛のため、為替介入に動くなどアジア通貨が全般的に下落しているが、杉本財務次官はアジア経済について「昨今の世界経済の減速の中で、やや減速している」との認識を示し、「原油など一次産品の高騰によるインフレの進行、経常収支の悪化が見られている」と語った,10000100001
7727,3,ただ、最近の原油など商品価格の落ち着きによって「インフレや経常収支に今後、いい影響が出てくると期待している」と指摘,10000100001
7735,0,米商務省が発表した7月の貿易赤字は、原油価格が過去最高となり石油輸入量も膨らむなか予想以上に拡大した,00000100001
8107,0,財務省が25日午前8時50分に発表した8月の貿易統計速報によると、貿易収支は3240億円の赤字となった,00000100000
8107,4,ロイターが民間調査機関を対象に行った調査では、貿易収支の予測中央値は4000億円の赤字で、赤字幅は予想より小さかった,00000100000
8109,6,財務省が寄り前に発表した8月の貿易統計では、1月を除くと82年11月以来26年ぶりの貿易赤字となった,00000100000
8111,0,財務省が25日午前8時50分に発表した8月の貿易統計速報によると、貿易収支は3240億円の赤字となった,00000100000
8112,0,財務省が25日発表した8月の貿易統計速報によると、8月の貿易収支は、1月を除くと1982年11月以来、約26年ぶりの赤字となった,00000100000
8112,1,8月の貿易収支は3240億円の赤字で、昨年8月の7436億円の黒字から赤字に転じた,00000100000
8112,3,●景気後退長期化のおそれ、株式市場は「催促相場」に＜SMBCフレンド証券投資情報部次長松野利彦氏＞26年ぶりの貿易赤字になったことが嫌気され株式市場では輸出関連株が軟調な動きになっている,00100100000
8113,7,午前の国内株式は、米国の金融安定化策法案化をめぐる不透明感や、寄り前に発表された8月貿易統計が1月を除いて26年ぶりに貿易赤字となるなど「売り材料が複数あった」（国内投信投資顧問）という,00000100000
8119,4,日本の貿易収支が特殊要因を除くと約26年ぶりに赤字に転落したことも投資マインドを萎縮させた,00000100000
8119,7,8月の貿易収支が3240億円の赤字になったことで輸出関連株に買い手控え感も広がった,00000100000
8120,11,一方、きょう発表された8月の国内貿易統計で1月を除いて26年ぶりの貿易赤字となったことなどを受けて、市場では世界的な景気減速感があらためて認識されているという,00000100000
8122,0,財務省が25日発表した8月の貿易収支は、3240億円の赤字に転落した,00000100000
8122,9,貿易赤字は、1982年11月（1160億円の赤字）以来となる,00000100000
8173,10,逃避通貨として消去法的に、今回の混乱の中で最も悪影響が少ない日本の円が選好されやすいとする見通しもあるが、26年ぶりに赤字に転じた貿易収支、米大手投資銀への相次ぐ出資に伴う巨額の資金流出観測なども踏まえると、円も買いづらい,00000100000
8619,9,貿易黒字は08年に2510億ドル、09年に2430億ドルとなる見込み,00000100000
8739,0,財務省が15日午前8時50分に発表した国際収支状況速報によると、8月の経常黒字は前年比52.5％減少の9888億円となり、6カ月連続の減少となった,00000100000
8739,1,ロイターが民間調査機関に行った事前調査では、経常黒字の予測中央値は前年比42.3％減少の1兆2000億円だった,00000100000
8739,4,このうち、貿易収支は2360億円の赤字となった,00000100000
8857,18,さらに回復の兆しが見えない米景気、新政権が打ち出すと見られる景気刺激策による政府負担増、大幅な金利引き下げによる資金流入減と経常赤字のファイナンス問題など、ドル相場を維持する環境は着実に悪化してるとの見方だ,00000100000
9033,0,財務省が23日午前8時50分に発表した9月の貿易統計速報によると、貿易収支は951億円の黒字となった,00000100000
9033,2,ロイターが民間調査機関を対象に行った調査では、貿易収支の予測中央値は6000億円の黒字で、発表数値は予想を大幅に下回った,00000100000
9034,0,財務省が23日午前8時50分に発表した9月の貿易統計速報によると、貿易収支は951億円の黒字となった,00000100000
9035,1,ファンダメンタルズ面をみても、9月の日本の貿易黒字が前年比9割以上も減少するなど世界景気の悪化が統計で裏付けられたとの見方が広がっている,00000100000
9035,16,マクロ経済面でも貿易黒字の減少が地合いを冷やしている,00000100000
9107,5,世界的に景気や市場が不安定な状況下では、教科書的には金利が低くインフレが安定し、かつ経常黒字のある国の通貨は強いというのが定説,10000100000
9136,9,加えて巨額な貿易黒字が同国経済に対する順調な資金のフローを促してきた,00000100000
9212,8,同財務次官補は、現在の金融危機でIMFが果たすべき役割について、各国経済の監視、国際収支が危機にある国の救済、経済は健全だが信用市場の収縮で流動性が欠如している国の支援、を挙げている,00000100000
9410,5,経常収支については、08年が約100億ドルの赤字と11年ぶりの赤字を記録した後、09年は約50億ドルの黒字に転換するとの見通しを示した,00000100000
9550,5,ブッシュ政権は強いドルを支持するとしばしば表明したが、巨額の米貿易赤字と中国の貿易黒字に特徴付けられた世界経済の不均衡是正にはドル安が重要なため、ドルの急激な下落を防止する手はほとんど打ってこなかった,00000100000
9664,2,その上で「しかし、現在まで国際収支に大きな変化は見られていない,00000100000
9668,0,財務省が11日午前8時50分に発表した国際収支状況速報によると、9月の経常黒字は前年比48.8％減少の1兆4979億円となり、7カ月連続の減少となった,00000100000
9668,1,貿易黒字の減少が影響した,00000100000
9668,2,ロイターが民間調査機関に行った事前調査では、経常黒字の予測中央値は前年比52.8％減少の1兆3800億円だった,00000100000
9668,5,このうち、貿易収支は2471億円の黒字だったものの、前年同月（1兆7707億円の黒字）から大幅に黒字幅が縮小した,00000100000
9668,11,同時に発表された2008年度上期の経常黒字は、前年比37.0％減の7兆8564億円となり、02年度下期以来11期ぶりの8兆円割れとなった,00000100000
9686,0,中国税関当局が11日発表した10月の同国の貿易黒字は352億4000万ドルで、過去最高を記録した9月の293億ドルを大幅に上回った,00000100000
9686,2,市場予想は、貿易黒字が313億ドル、輸出が18.8％増、輸入が19.0％増,00000100000
9686,3,1─10月の貿易黒字は2159億9000万ドル,00000100000
9775,5,10月について民間エコノミストからは「海外経済の減速を背景に輸出は低迷するが、原油価格急落を受けた輸入価格の低下により輸入の伸びが急速に鈍化するため、貿易収支の減少幅は若干縮小する」（ニッセイ基礎研）、「内外需要減退と円高が輸出入金額をとも押し下げる,00000100000
9775,7,前年比では貿易黒字の縮小基調が続く」（みずほ総研）などの声が聞かれた,00000100000
9775,18,しかし、これらの価格の下落とともに、数量面でも輸入の減少が鮮明となろう」（バークレイズキャピタル証券）、「今後は原油価格の大幅下落で輸入額が減少に転じるだろうが、円高と米欧向けの輸出停滞で貿易黒字は低い水準で推移すると予想される」（信金中金総研）、「10─12月以降の外需は悪化ペースが加速する見込みで、GDPでのマイナス寄与も視野に入る」（アール･ビー･エス証券）など、輸出入ともに減速感が強まるとの予想が多い,10000100001
9893,7,バーナンキ議長＜経常赤字＞経常収支不均衡は非常に深刻な問題,00000100000
9893,9,一部改善がみられ、経常赤字がより均衡化してきていることは希望の兆しだ,00000100000
9948,0,財務省が20日午前8時50分に発表した10月の貿易統計速報によると、貿易収支は639億円の赤字となった,00000100000
9948,3,ロイターが民間調査機関を対象に行った調査では、貿易収支の予測中央値は800億円の黒字で、発表数値は予想を大きく下回った,00000100000
9949,0,財務省が発表した10月の貿易収支は639億円の赤字となり、市場予想を下回った,00000100000
9964,14,＜一方的な貿易赤字拡大はなさそう＞8月、10月と赤字となったものの、今後の貿易収支については「一方的に貿易赤字が拡大する状況でもない」（東洋証券情報部ストラテジストの檜和田浩昭氏）との予想が多い,00000100000
9966,1,世界景気の先行きに不透明感が強い中、足元の統計でも輸出減少、貿易赤字となるなど実態の厳しさが鮮明になっている,00000100000
9966,8,20日に財務省が発表した10月の貿易統計速報によると、貿易収支は639億円の赤字となった,00000100000
9966,9,赤字は8月以来で、ロイターが民間調査機関を対象に行った調査では、貿易収支の予測中央値は800億円の黒字で、発表数値は予想を下回っている,00000100000
10543,0,財務省が8日午前8時50分に発表した国際収支状況速報によると、10月の経常黒字は前年比56.5％減少の9605億円となり、8カ月連続の減少となった,00000100000
10543,1,ロイターが民間調査機関に行った事前調査では、経常黒字の予測中央値は前年比50.1％減少の1兆1000億円だった,00000100000
10543,3,このうち、貿易収支は1458億円の黒字（前年同月は1兆1434億円の黒字）、サービス収支は2777億円の赤字（前年同月は2899億円の赤字）となった,00000100000
10547,0,財務省が8日に発表した国際収支状況速報によると、10月の経常黒字は前年比56.5％減少の9605億円となり、8カ月連続の減少となった,00000100000
10547,2,ロイターが民間調査機関に行った事前調査では、経常黒字の予測中央値は前年比50.1％減少の1兆1000億円だった,00000100000
10547,5,このうち、貿易収支は1458億円の黒字と、前年同月（1兆1434億円の黒字）から大幅に黒字幅が縮小した,00000100000
10616,13,JPモルガンチェース銀行の調べによると、この合計値に貿易収支や他の投資家の売買に占めるヘッジ比率などを勘案した、円相場により直接的な影響を及ぼすと見られる資本流出の総額は11兆5000億円と89年以来の最大を記録している,00000100000
10676,0,中国税関当局が10日発表した11月の貿易黒字は過去最高の401億ドルに急増し、やはり過去最高だった10月の352億ドルからさらに拡大した,00000100000
10676,5,エコノミストは、輸出が前年比15％増、輸入は12％増加し、貿易黒字は324億ドルになると見込んでいた,00000100000
10682,3,エコノミストは、輸出が前年比15％増、輸入は12％増加し、貿易黒字は324億ドルになると見込んでいた,00000100000
10682,6,輸入が輸出を超え大きく減少したことを受け、11月の貿易黒字は過去最高の401億ドルに急増,00000100000
10730,0,米商務省が11日発表した10月の貿易統計は、貿易赤字が1.1％増の約572億ドルと予想外に拡大した,00000100000
10730,3,10月の貿易赤字についてエコノミストは535億ドルに縮小すると予想していた,00000100000
10858,3,ただ、中国の経常収支、国際収支の強さは、人民元が長期的には上昇基調を維持する可能性が高いことを示している」と述べた,00000100000
10891,10,周総裁は、人民元について、人民銀行が介入していることを認めたものの、中国の通貨制度は管理フロート制であり、相場は基本的に需給要因や貿易収支によって決まると指摘,00000100000
10891,13,このため、貿易黒字が過去最大になった」と述べた,00000100000
11025,6,輸出減のほか、原油原材料価格の動向により輸入は大幅減が想定され、貿易黒字や経常黒字は増加が見込まれている,00000100000
11089,0,財務省が22日午前8時50分に発表した11月の貿易統計速報によると、貿易収支は2234億円の赤字となった,00000100000
11089,2,ロイターが民間調査機関を対象に行った調査では、貿易収支の予測中央値は2575億円の赤字だった,00000100000
11095,0,財務省が22日発表した11月の貿易統計速報によると貿易収支は2234億円の赤字となった,00000100000
11095,2,ロイターが民間調査機関を対象に行った調査では、貿易収支の予測中央値は2575億円の赤字だった,00000100000
11095,3,  貿易赤字は2カ月続くのは、1980年10─11月以来のこと,00000100000
11097,0,財務省が22日発表した11月の貿易統計速報によると貿易収支は2234億円の赤字となった,00000100000
11097,3,ロイターが民間調査機関を対象に行った調査では、貿易収支の予測中央値は2575億円の赤字だった,00000100000
11097,4,  貿易赤字が2カ月続くのは、1980年10─11月以来,00000100000
11111,8,しかし、08年第3四半期には増加幅が同じ時期の貿易黒字と海外からの直接投資の合計額を下回った,00000100000
